customer_id,customer_name,email,age,country_id,phoneNumber,gender,birthdate,register_date,city,state,postalcode
2,Reed Wilkinson,cramped2043@live.com,54,174,167-782-4236,Fluid,2014-03-06 06:40:00,2017-07-12 06:17:25,Fitchburg,Kansas,37972
1,Reed Wilkinson,cramped2043@live.com,54,174,167-782-4236,Fluid,2014-03-06 06:40:00,2017-11-15 21:14:37,Fitchburg,Kansas,37972
3,Michal Jefferson,eyeshot2015@yandex.com,56,17,060-357-2835,Others,2020-02-23 06:47:00,2018-03-28 12:03:51,Jeffersontown,Louisiana,28585
4,Michal Jefferson,eyeshot2015@yandex.com,56,17,060-357-2835,Others,2020-02-23 06:47:00,2017-07-02 02:35:54,Jeffersontown,Louisiana,28585
5,Bryan Brennan,rubeola1993@yandex.com,68,183,+1-(986)-744-1754,Fluid,2007-04-22 21:36:00,2017-11-20 23:47:06,Kingsport,Illinois,43395
6,Bryan Brennan,rubeola1993@yandex.com,68,183,+1-(986)-744-1754,Fluid,2007-04-22 21:36:00,2016-12-21 00:17:07,Kingsport,Illinois,43395
7,Barbie Barton,cohabitants2011@yandex.com,35,181,+1-(960)-549-7825,Fluid,2020-02-19 17:46:00,2016-05-23 13:35:06,Kinston,Vermont,30586
8,Barbie Barton,cohabitants2011@yandex.com,35,181,+1-(960)-549-7825,Fluid,2020-02-19 17:46:00,2017-05-26 16:20:43,Kinston,Vermont,30586
9,Shaniqua Rodriquez,punkwood1922@live.com,64,167,+1-(561)-349-7429,Others,2035-06-18 00:00:00,2016-10-19 06:26:10,Maple Valley,North Dakota,42030
10,Shaniqua Rodriquez,punkwood1922@live.com,64,167,+1-(561)-349-7429,Others,2035-06-18 00:00:00,2017-09-07 07:05:57,Maple Valley,North Dakota,42030
11,Jin Osborne,documentaries1933@yahoo.com,23,134,879.440.6399,Fluid,2021-04-26 15:43:00,2018-07-26 14:06:36,Geneva,Pennsylvania,18700
13,Leonardo Hunter,turnbuckles1917@live.com,20,197,269.953.2639,Male,2011-05-12 19:20:00,2018-01-12 00:01:41,Perris,Nevada,77567
12,Jin Osborne,documentaries1933@yahoo.com,23,134,879.440.6399,Fluid,2021-04-26 15:43:00,2018-10-11 16:23:16,Geneva,Pennsylvania,18700
14,Daren Johns,phlegmier1971@outlook.com,40,214,1-773-292-2015,Others,2018-08-11 07:07:00,2016-03-10 18:58:31,Russellville,New Jersey,68114
